league,league_name,market,n,logloss_poisson,brier_poisson,logloss_ml,brier_ml
G1,Greece Super League,under_2.5,111,0.687700999383713,0.24616742794509294,0.6819705790583505,0.2433895059636272
G1,Greece Super League,under_3.5,111,0.5754559325689594,0.19357427106625458,0.5457263455707492,0.18038240947102108
I1,Serie A,1x2_away,198,0.5822638474589376,0.19726025272936462,0.5888656021488622,0.19884092545865
I1,Serie A,1x2_draw,198,0.6172873644213895,0.21236184270776395,0.6027044116982585,0.20699393972247304
I1,Serie A,1x2_home,198,0.6477830783685785,0.22640854991216694,0.6275056135748696,0.2157349998552441
I1,Serie A,btts_no,198,0.7250508626800152,0.26515187590622696,0.7406969585565677,0.2724690626533562
I1,Serie A,btts_yes,198,0.725050862680015,0.26515187590622696,0.7406969585565677,0.2724690626533562
I1,Serie A,dc_12,198,0.6172873644213895,0.21236184270776398,0.6027044116982585,0.20699393972247304
I1,Serie A,dc_1x,198,0.5822638474589376,0.19726025272936462,0.5888656021488622,0.19884092545864998
I1,Serie A,dc_2x,198,0.6477830783685785,0.22640854991216694,0.6275056135748696,0.21573499985524408
I1,Serie A,over_0.5,198,0.31880434697264753,0.08743702493439397,0.3183008391607943,0.08762099424569848
I1,Serie A,over_1.5,198,0.6474801327490117,0.22436797449566956,0.6443290944290744,0.22360440852854402
I1,Serie A,over_2.5,198,0.7612168846774572,0.28152554438511573,0.7643462295449864,0.28146672998630606
I1,Serie A,over_3.5,198,0.5862585545559094,0.19780636263569804,0.5669217753864463,0.18808264701956992
I1,Serie A,under_0.5,198,0.31880434697264765,0.08743702493439397,0.31830083916079444,0.08762099424569848
I1,Serie A,under_1.5,198,0.6474801327490117,0.22436797449566956,0.6443290944290743,0.22360440852854396
I1,Serie A,under_2.5,198,0.7612168846774572,0.2815255443851157,0.7643462295449862,0.28146672998630606
I1,Serie A,under_3.5,198,0.5862585545559093,0.19780636263569798,0.5669217753864463,0.18808264701956992
I2,Serie B,1x2_away,190,0.5457091940084889,0.17980745632797782,0.5477384607554991,0.18056958927605132
I2,Serie B,1x2_draw,190,0.6527371947343769,0.22865847393332853,0.6344054626678349,0.22152527569612715
I2,Serie B,1x2_home,190,0.681124193416192,0.24421785814055802,0.6816131559562318,0.24394013858970157
I2,Serie B,btts_no,190,0.7086594632342524,0.2573636747016775,0.7059984643313291,0.25581521602479473
I2,Serie B,btts_yes,190,0.7086594632342524,0.2573636747016775,0.705998464331329,0.2558152160247947
I2,Serie B,dc_12,190,0.6527371947343769,0.22865847393332855,0.6344054626678349,0.2215252756961272
I2,Serie B,dc_1x,190,0.5457091940084889,0.17980745632797782,0.5477384607554991,0.18056958927605132
I2,Serie B,dc_2x,190,0.681124193416192,0.244217858140558,0.6816131559562318,0.24394013858970157
I2,Serie B,over_0.5,190,0.2725728354810883,0.07225483911705478,0.2742007671899049,0.07260454417743663
I2,Serie B,over_1.5,190,0.5996920277143318,0.20218267677463317,0.5942672246996591,0.20106416785561274
I2,Serie B,over_2.5,190,0.7226695566422329,0.2644959591967982,0.7162516224594938,0.2614328846131821
I2,Serie B,over_3.5,190,0.5988340193629218,0.20336182632699193,0.5901981807293255,0.19790701112808404
